Daily Flow of Station: A in m3/s
 2011

01/Jan/2011,365
02/Jan/2011,364
03/Jan/2011,359
04/Jan/2011,339
05/Jan/2011,307
06/Jan/2011,284
07/Jan/2011,275
08/Jan/2011,275
09/Jan/2011,270
10/Jan/2011,267
11/Jan/2011,266
12/Jan/2011,261
13/Jan/2011,260
14/Jan/2011,246
15/Jan/2011,240
16/Jan/2011,237
17/Jan/2011,235
18/Jan/2011,235
19/Jan/2011,236
20/Jan/2011,238
21/Jan/2011,243
22/Jan/2011,243
23/Jan/2011,239
24/Jan/2011,230
25/Jan/2011,229
26/Jan/2011,233
27/Jan/2011,235
28/Jan/2011,229
29/Jan/2011,229
30/Jan/2011,224
31/Jan/2011,215
01/Feb/2011,217
02/Feb/2011,217
03/Feb/2011,221
04/Feb/2011,222
05/Feb/2011,222
06/Feb/2011,226
07/Feb/2011,228
08/Feb/2011,231
09/Feb/2011,236
10/Feb/2011,238
11/Feb/2011,238
12/Feb/2011,242
13/Feb/2011,244
14/Feb/2011,253
15/Feb/2011,247
16/Feb/2011,254
17/Feb/2011,254
18/Feb/2011,254
19/Feb/2011,249
20/Feb/2011,244
21/Feb/2011,250
22/Feb/2011,256
23/Feb/2011,257
24/Feb/2011,250
25/Feb/2011,258
26/Feb/2011,276
27/Feb/2011,280
28/Feb/2011,275
01/Mar/2011,274
02/Mar/2011,261
03/Mar/2011,267
04/Mar/2011,277
05/Mar/2011,279
06/Mar/2011,262
07/Mar/2011,278
08/Mar/2011,285
09/Mar/2011,275
10/Mar/2011,282
11/Mar/2011,276
12/Mar/2011,264
13/Mar/2011,244
14/Mar/2011,232
15/Mar/2011,212
16/Mar/2011,202
17/Mar/2011,205
18/Mar/2011,207
19/Mar/2011,199
20/Mar/2011,196
21/Mar/2011,191
22/Mar/2011,192
23/Mar/2011,196
24/Mar/2011,190
25/Mar/2011,193
26/Mar/2011,193
27/Mar/2011,188
28/Mar/2011,188
29/Mar/2011,194
30/Mar/2011,197
31/Mar/2011,185
01/Apr/2011,181
02/Apr/2011,182
03/Apr/2011,189
04/Apr/2011,188
05/Apr/2011,215
06/Apr/2011,211
07/Apr/2011,209
08/Apr/2011,203
09/Apr/2011,211
10/Apr/2011,270
11/Apr/2011,247
12/Apr/2011,235
13/Apr/2011,237
14/Apr/2011,256
15/Apr/2011,257
16/Apr/2011,257
17/Apr/2011,267
18/Apr/2011,254
19/Apr/2011,236
20/Apr/2011,343
21/Apr/2011,351
22/Apr/2011,298
23/Apr/2011,296
24/Apr/2011,301
25/Apr/2011,275
26/Apr/2011,260
27/Apr/2011,254
28/Apr/2011,257
29/Apr/2011,250
30/Apr/2011,249
01/May/2011,292
02/May/2011,300
03/May/2011,284
04/May/2011,287
05/May/2011,272
06/May/2011,272
07/May/2011,283
08/May/2011,272
09/May/2011,273
10/May/2011,260
11/May/2011,265
12/May/2011,258
13/May/2011,258
14/May/2011,254
15/May/2011,238
16/May/2011,247
17/May/2011,247
18/May/2011,260
19/May/2011,265
20/May/2011,275
21/May/2011,260
22/May/2011,272
23/May/2011,339
24/May/2011,530
25/May/2011,332
26/May/2011,314
27/May/2011,366
28/May/2011,346
29/May/2011,361
30/May/2011,326
31/May/2011,374
01/Jun/2011,345
02/Jun/2011,343
03/Jun/2011,399
04/Jun/2011,579
05/Jun/2011,568
06/Jun/2011,944
07/Jun/2011,735
08/Jun/2011,590
09/Jun/2011,529
10/Jun/2011,475
11/Jun/2011,451
12/Jun/2011,446
13/Jun/2011,446
14/Jun/2011,430
15/Jun/2011,443
16/Jun/2011,438
17/Jun/2011,423
18/Jun/2011,592
19/Jun/2011,540
20/Jun/2011,531
21/Jun/2011,521
22/Jun/2011,503
23/Jun/2011,497
24/Jun/2011,804
25/Jun/2011,912
26/Jun/2011,782
27/Jun/2011,883
28/Jun/2011,1143
29/Jun/2011,1173
30/Jun/2011,1535
01/Jul/2011,1457
02/Jul/2011,1349
03/Jul/2011,1555
04/Jul/2011,1592
05/Jul/2011,1648
06/Jul/2011,1431
